account_id,per_transaction_amount_limit,transaction_volume_limit_per_day
ef6e4258-bdd8-42a9-83bd-d32dee978021,1685800,7
ad31420e-76a3-4449-be83-470107f95b2d,244400,5
3ea2fc1d-843a-44c0-bfc8-8881e05db634,1140200,4
5c155141-34a4-4b88-a934-a6775cb78dda,1824100,4
3302c6af-f465-49f5-9672-e43f9e76b1f4,1021900,9
ff12a68c-5fe0-4476-813e-f1c725f29797,446000,4
34701959-2229-44e6-8177-ef743f43141c,1616100,6
d3bf5c7d-69f1-42dd-a64e-63ff2803a8a6,1513800,8
d0951c7c-4778-4277-886d-a9d13d1a190c,1626800,7
476090cd-2ddf-4b76-b2d9-d3395c068232,346400,6
0ba0c9d6-e814-45f1-ad1a-2ff541696cb1,882700,8
9080b3ed-5a55-48dc-9259-3a2e2655a8ad,1797700,6
8735c73c-3e76-4b3a-b583-23f391d9d6f7,813100,8
3fa40ded-2873-4a45-aaaa-f71b7bac6bfd,1242400,7
4c7f4bfe-89d1-4b95-b2f4-a3df3c3df82f,330900,9
4867a6ba-f292-4c90-b3f8-8510262f5f3a,1417300,3
94b056b0-f462-48cb-9db2-121f56684e36,696100,3
5d7768c5-b8b2-446e-ab67-286b6f8ec5f6,621000,7
462891c2-0cbf-42f1-bbd6-3a7a1ac9d492,1587900,3
ae8dcdd2-c20f-4020-9d85-67a4b09c55bc,1866600,5
1f14afca-1903-4bfa-9cb2-5548a7ac9b0f,1966200,4
819c73c5-84ed-4f8c-8374-d700292b2cdb,299500,8
aaa4f0ba-6917-4860-841c-4c7169ca6167,1852800,9
418e3b83-acb3-49a4-a055-1710c88233c1,661800,8
a268c6bb-5b90-46b0-8cf2-8380f97197c5,1293400,9
57d099bf-1d96-4845-ba67-8613f080ffe6,1392300,3
fa829468-f736-45e6-a37d-73a11c7d25f7,455500,4
12751b49-4a52-46da-978f-54a4ef20a107,423300,7
84b77f55-ead1-4d94-ad15-d0014013e057,646600,7
00b8a364-6bee-489e-97ab-fa7650111cf9,945200,5
8b1141f5-fd72-418f-a58d-42a683484546,327400,8
24c41a6d-2b9d-49ec-a9a5-d82244963c9d,1515400,4
1174e27b-7f9e-485d-a97d-af709d69639e,1940500,3
303f932c-2572-4673-b67d-fe3284bc7b73,542900,8
df52e432-3d44-49a4-a29d-ab40015c1a70,798900,5
af3863de-b334-43a7-acef-495cb39eb8a4,1976900,3
050bccdb-80b7-402a-906f-0504be2c1580,1452600,4
9fee5b3b-448b-494c-9a5a-d74fc4482210,1797800,3
620a9609-3500-4537-9512-67e558e771cc,205100,9
a446f44c-ab67-4456-aa2d-e63bd7583f36,1407400,5
f193ceb6-f78f-4d05-8dc7-b67b272a09ab,897000,9
d102d4e5-a7ea-46a5-88ec-57accf390af0,455600,8
c6d6377f-d3bf-4f18-bf12-7b1c3b028e9d,1245500,3
a52c9558-466d-4c4c-bd53-e0b9d7fc8ead,1518700,9
7525ef0d-3bc2-4061-930a-ed8756d122f5,668400,3
31c17253-3158-4d69-a4f7-20f68d77a652,480800,6
d1111967-575f-488a-b936-93fec4eb6e5d,917400,8
6c3948af-c0fa-45f6-97a9-f19a8dc2693f,1435600,9
1fc724b4-26a9-4607-8263-08ef861ab032,847900,9
13627a81-c2df-4b1c-87d2-a79031a8abb2,1886300,6
fd857be2-ab86-4961-beb4-f979644bd4b0,947000,4
398714c8-18a7-40f3-a2ad-03fa525ead84,1423700,9
cd2f86a9-aee5-4914-969d-92a09b96f4d3,1568900,5
a5379c8e-4ecc-4449-a08c-81d1c7070c88,794700,9
9a2cdbe7-41cc-4b40-b9d4-e9139af08fe4,1935500,9
c08c6c2d-8e47-485e-a994-07427ff1a3cb,1398100,8
94ffe0e2-5866-4989-b1b2-b2753004f7d5,1456900,6
d9df0132-4a6a-4d5c-9677-435b196ea17a,1680600,6
f8599d76-28af-49b4-aa1c-76f6fb9c3660,106600,7
dab42c96-9712-40df-bc86-9b1c72fa2446,1003400,7
6f444e95-0c28-41dd-bf39-05ac8262d21b,1433500,9
21c29eb6-258c-449e-8876-2c72be3b5d82,937000,5
1d9799ea-cccc-4de3-9bdb-f3c3b3c9e6a8,385200,3
d9cb9eea-c54a-4f2e-ba7e-1ff9972c82ec,126900,6
63dd8c6c-0828-4dd4-aa5b-34cd53a33ddf,1139400,6
2806df7e-58d0-4999-8463-5ab1f6eec340,1982200,4
da6e3f28-0591-477d-b1e2-e39874ade550,701700,9
669e0de6-0896-4a09-b3a1-4165eaf799f3,889300,9
